codigo_act,municipio,Nombre,encontrada,denue,ageb.x,cp,estado,localidad.x,id,clee,nom_estab,raz_social,nombre_act,per_ocu,tipo_vial,nom_vial,tipo_v_e_1,nom_v_e_1,tipo_v_e_2,nom_v_e_2,tipo_v_e_3,nom_v_e_3,numero_ext,letra_ext,edificio,edificio_e,numero_int,letra_int,tipo_asent,nomb_asent,tipoCenCom,nom_CenCom,num_local,cod_postal,cve_ent,entidad,municipio.y,cve_loc,localidad.y,ageb.y,manzana,telefono,correoelec,www,tipoUniEco,latitud,longitud,fecha_alta
332610,6,"Colgadores Tubulares, S.A. De C.V.",COLGADORES TUBULARES,COLGADORES TUBULARES,1094,8400,9,1,3614089,22006332610000016000000000U2,CGR DE MEXICO,CGR DE MEXICO SA DE CV,"Fabricación de alambre, productos de alambre y resortes",101 a 250 personas,CIRCUITO,NINGUNO,AVENIDA,CONSTITUYENTES,CALLE,NINGUNO,CALLE,NINGUNO,7,,,,0,,PARQUE INDUSTRIAL,INDUSTRIAL BALVANERA,OTRO CONGLOMERADO,BALVANERA,,76920,22,QUERÉTARO                               ,Corregidora,1,El Pueblito,104,44,,LUCY.REGALADO@CGRINTERNATIONAL.COM,WWW.CGR.FR,Fijo,20.53654383,-100.4553141,2014-12
332610,6,"Colgadores Tubulares, S.A. De C.V.",COLGADORES TUBULARES,COLGADORES TUBULARES,1094,8400,9,1,8735961,22006332610000032000000000U9,REJAS GAVIONES Y MALLAS DEL BAJIO,REGAMA DEL BAJIO SA DE CV,"Fabricación de alambre, productos de alambre y resortes",6 a 10 personas,CALLE,DON JOSE,CALLE,NINGUNO,CALLE,NINGUNO,CALLE,GERANIOS,28,,,,6,,PARQUE INDUSTRIAL,BALVANERA,,,,76900,22,QUERÉTARO                               ,Corregidora,1,El Pueblito,104,26,4422737119,INFORMES@REGAMABAJIO.COM.MX,WWW.REGAMABAJIO.COM.MX,Fijo,20.52853621,-100.461265,2019-11
332610,6,"Colgadores Tubulares, S.A. De C.V.",COLGADORES TUBULARES,COLGADORES TUBULARES,1094,8400,9,1,6742413,19006332610000053000000000U0,BM VELTIX MEXICO,BM VELTIX S DE RL DE CV,"Fabricación de alambre, productos de alambre y resortes",11 a 30 personas,CALLE,CARRETERA MEXICO-LAREDO,CALLE,NINGUNO,OTRO (ESPECIFIQUE),SIN REFERENCIA,CALLE,LIBRAMIENTO NORESTE,1000,KM 16.5,,,,,MANZANA,MOISES SAENZ,,,,66615,19,NUEVO LEÓN   ,Apodaca,1,Ciudad Apodaca,1204,1,,,,Fijo,25.8246541,-100.2624119,2016-10
332610,6,"Colgadores Tubulares, S.A. De C.V.",COLGADORES TUBULARES,COLGADORES TUBULARES,1094,8400,9,1,6365452,19006332610000036000000000U5,ACEROS TITAN SA DE CV,ACEROS TITAN SA DE CV,"Fabricación de alambre, productos de alambre y resortes",101 a 250 personas,CARRETERA,Libramiento Noreste,CARRETERA,ANTONIO E MARCOS,CALLE,ANDROMEDA,CALLE,Ninguno,0,kilometro 34.8,,,0,,COLONIA,COSMOPOLIS,,,,66612,19,NUEVO LEÓN   ,Apodaca,1,Ciudad Apodaca,827,12,,,,Fijo,25.83091391,-100.2509747,2010-07
332610,6,"Colgadores Tubulares, S.A. De C.V.",COLGADORES TUBULARES,COLGADORES TUBULARES,1094,8400,9,1,3808842,25006332610000053000051449M2,ACEROS CETRESA,CEMENTOS Y TREFILADOS DEL NOROESTE SA DE CV,"Fabricación de alambre, productos de alambre y resortes",11 a 30 personas,AVENIDA,MONTE TABOR,CALLE,PRIMERA,CALZADA,AEROPUERTO,CALLE,EL TIRITO,NA,SN,,,,,COLONIA,SAN JAVIER,,,,80135,25,SINALOA,Culiacán,1,Culiacán Rosales,7001,23,6677602023,CONTABILIDAD_CETRESA@HOTMAIL.COM,,Fijo,24.77450635,-107.4860586,2014-12
332610,6,"Colgadores Tubulares, S.A. De C.V.",COLGADORES TUBULARES,COLGADORES TUBULARES,1094,8400,9,1,788475,09006332610000073000000000U0,FORMAS DE ALAMBRE FAMEX,,"Fabricación de alambre, productos de alambre y resortes",6 a 10 personas,CALLE,SUR 133,CALLE,ORIENTE 100,EJE VIAL,4 SUR (PRESIDENTE PLUTARCO ELIAS CALLES),CALLE,SUR 131,2514,,,,,,COLONIA,GABRIEL RAMOS MILLAN,,,,8720,9,CIUDAD DE MÉXICO,Iztacalco,1,Iztacalco,452,7,,,,Fijo,19.39622431,-99.10082076,2010-07
332720,6,"Perfiherrajes Immsa, S.A. de C.V.",PERFIHERRAJES IMMSA,PERFIHERRAJES IMMSA,132,8400,9,1,8256970,22006332720000042000000000U5,MAQUILAS GALICIA,,"Fabricación de tornillos, tuercas, remaches y similares",6 a 10 personas,AVENIDA,CONSTITUYENTES,CALLE,CANARIOS,PROLONGACION,JOSEFA ORTIZ DE DOMINGUEZ,CALLE,GORRIONES,1455,,PASAJE Y ANDADOR COMERCIAL,PASAJE,,,COLONIA,COMINO A LOS OLVERA,PASAJE Y ANDADOR COMERCIAL,BODEGAS PANAMERICANA,7-A,76220,22,QUERÉTARO                               ,Corregidora,1,El Pueblito,157,30,,FAGALICIA@HOTMAIL.COM,,Fijo,20.54075006,-100.431873,2019-11
332720,6,"Perfiherrajes Immsa, S.A. de C.V.",PERFIHERRAJES IMMSA,PERFIHERRAJES IMMSA,132,8400,9,1,6778513,19006332720000055001000000U2,MULTI TURN PRECISION INDUSTRIES S DE RL DE CV,MULTI TURN PRECISION INDUSTRIES S DE RL DE CV,"Fabricación de tornillos, tuercas, remaches y similares",51 a 100 personas,AVENIDA,SANTO DOMINGO,AVENIDA,ACEROS,OTRO (ESPECIFIQUE),SIN REFERENCIA,AVENIDA,ACEROS,1,,,,0,,PARQUE INDUSTRIAL,INDUSTRIAL LOS PARQUES,OTRO CONGLOMERADO,PARQUE INDUSTRIAL KALOS,,66448,19,NUEVO LEÓN   ,Apodaca,1,Ciudad Apodaca,1399,20,,,,Fijo,25.75685285,-100.2480408,2017-03
332720,6,"Perfiherrajes Immsa, S.A. de C.V.",PERFIHERRAJES IMMSA,PERFIHERRAJES IMMSA,132,8400,9,1,3048195,19006332720000023002000000U0,SPIROL MÉXICO,SPIROL MEXICO SA DE CV,"Fabricación de tornillos, tuercas, remaches y similares",101 a 250 personas,CARRETERA,CARRETERA MÉXICO-LAREDO,CALLE,VÍA DE NUMANCIA,CALLE,VÍA DE NAVARRA,CARRETERA,NACIONAL MÉXICO-LAREDO,1,,,,0,,COLONIA,MOISES SAENZ,,,,66613,19,NUEVO LEÓN   ,Apodaca,1,Ciudad Apodaca,1204,1,,LAURAM2612@HOTMAIL.COM,,Fijo,25.8227083,-100.2637777,2010-07
332720,6,"Perfiherrajes Immsa, S.A. de C.V.",PERFIHERRAJES IMMSA,PERFIHERRAJES IMMSA,132,8400,9,1,7832616,09006332720000082000000000U8,FABRICA DE PIEZAS DE MAQUINARIA SERVICIOS PARA LA INDUSTRIA EMBOTELLADORA,SERVICIOS PARA LA INDUSTRIA EMBOTELLADORA SA DE CV,"Fabricación de tornillos, tuercas, remaches y similares",6 a 10 personas,CALLE,EMILIO CARRANZA,CALLE,EMILIANO ZAPATA,CALLE,ÁLVARO OBREGON,CALLE,CORREGIDORA,22,A,,,,,COLONIA,SANTA ANITA,,,,8300,9,CIUDAD DE MÉXICO,Iztacalco,1,Iztacalco,026A,2,,,,Fijo,19.39994714,-99.119715,2019-11
332720,6,"Perfiherrajes Immsa, S.A. de C.V.",PERFIHERRAJES IMMSA,PERFIHERRAJES IMMSA,132,8400,9,1,6738604,09006333610000003011000000U6,TROQUELADOS Y CLAVOS ALFA,TROQUELADOS Y CLAVOS ALFA SA DE CV,"Fabricación de tornillos, tuercas, remaches y similares",6 a 10 personas,CALLE,AÑIL,CALLE,CHICLE,CALLE,VAINILLA,CALLE,AVENA,281,,,,,,COLONIA,GRANJAS MEXICO,,,,8400,9,CIUDAD DE MÉXICO,Iztacalco,1,Iztacalco,132,11,5556576666,,,Fijo,19.40406742,-99.10736173,2016-10
332720,6,"Perfiherrajes Immsa, S.A. de C.V.",PERFIHERRAJES IMMSA,PERFIHERRAJES IMMSA,132,8400,9,1,6306864,09006332720000075001000000U2,PROTTSA SA DE CV,PROTTSA SA DE CV,"Fabricación de tornillos, tuercas, remaches y similares",51 a 100 personas,CALLE,ORIENTE 233,CALLE,SUR 2,CALLE,SUR 4,CALLE,ORIENTE 229,91,,,,0,,COLONIA,AGRICOLA ORIENTAL,,,,8500,9,CIUDAD DE MÉXICO,Iztacalco,1,Iztacalco,185,8,,CONTABILIDAD@PROTTSA.COM,,Fijo,19.40522138,-99.07641734,2010-07
434221,6,Seguridad Industrial y de Valores,SEGURIDAD INDUSTRIAL Y DE VALORES,SEGURIDAD INDUSTRIAL,4577,0,25,1,2943394,19006434221000382000026083S6,OKILA,OKILA SA DE CV,Comercio al por mayor de materiales metálicos para la construcción y la manufactura,11 a 30 personas,CALLE,ISIDORO SEPULVEDA,BOULEVARD,JULIÁN TREVIÑO ELIZONDO,AVENIDA,ISIDRO SEPÚLVEDA MARTÍNEZ,AVENIDA,ISIDRO SEPÚLVEDA MARTÍNEZ,550,,,,,,COLONIA,PARQUE INDUSTRIAL TITAN,,,,66615,19,NUEVO LEÓN   ,Apodaca,1,Ciudad Apodaca,1011,3,,JSOLORZANO@OKILA.COM.MX,WWW.OKILA.COM.MX,Fijo,25.74407175,-100.2170431,2014-12
434221,6,Seguridad Industrial y de Valores,SEGURIDAD INDUSTRIAL Y DE VALORES,SEGURIDAD INDUSTRIAL,4577,0,25,1,3603921,22006434221000092001000000U6,ACEROS CONSTITUYENTES,,Comercio al por mayor de materiales metálicos para la construcción y la manufactura,6 a 10 personas,AVENIDA,CONSTITUYENTES,CALLE,RIO TUXPAN,PRIVADA,FAMILIA ARROYO,CALLE,RIO BRAVO,63,,,,0,,COLONIA,EL POCITO,,,,76900,22,QUERÉTARO                               ,Corregidora,44,San José de los Olvera,180,3,442422130,ACEROSCONSTITUYENTES@HOTMAIL.COM,,Fijo,20.56013917,-100.4159463,2010-07
434221,6,Seguridad Industrial y de Valores,SEGURIDAD INDUSTRIAL Y DE VALORES,SEGURIDAD INDUSTRIAL,4577,0,25,1,6389624,25006434221000443000010836S8,SERDI BUENOS AIRES  (H),SERDI SA DE CV,Comercio al por mayor de materiales metálicos para la construcción y la manufactura,11 a 30 personas,BOULEVARD,MANUEL J. CLOUTHIER,AVENIDA,GENERAL PABLO MACÍAS VALENZUELA,CALLE,CONSTITUYENTE ALBERTO TERRONES BENÍTEZ,AVENIDA,CERRO OTATES,3780,,,,,,COLONIA,BUENOS AIRES,,,,80199,25,SINALOA,Culiacán,1,Culiacán Rosales,234A,34,,KARLA.SANCHEZ@SERDI.COM.MX,WWW.SERDIACEROS.COM,Fijo,24.77075361,-107.4007086,2010-07
434221,6,Seguridad Industrial y de Valores,SEGURIDAD INDUSTRIAL Y DE VALORES,SEGURIDAD INDUSTRIAL,4577,0,25,1,1884688,14006811119000172011000000M5,SERVICIOS NUÑEZ,,Comercio al por mayor de materiales metálicos para la construcción y la manufactura,6 a 10 personas,CALLE,ENRIQUE GONZALEZ MARTINEZ,PRIVADA,MARIANO AZUELA,AVENIDA,PATRIA L. ORIENTE,AVENIDA,SAN MARTÍN,8,,,,,,CIUDAD,AMECA,,,,46600,14,JALISCO,Ameca,1,Ameca,222,41,,,,Fijo,20.53499145,-104.0269638,2010-07
434221,6,Seguridad Industrial y de Valores,SEGURIDAD INDUSTRIAL Y DE VALORES,SEGURIDAD INDUSTRIAL,4577,0,25,1,3045450,19006434211000363000000000U7,BLOKASA MATERIALES,BLOKASA MATERIALES SA DE CV,Comercio al por mayor de materiales metálicos para la construcción y la manufactura,11 a 30 personas,BOULEVARD,CARLOS SALINAS DE GORTARI,CALLE,PADRE MIER,CALLE,5 DE MAYO,CALLE,IGNACIO ALDAMA,601,,,,,,COLONIA,MODERNO APODACA,,,,66600,19,NUEVO LEÓN   ,Apodaca,1,Ciudad Apodaca,102,4,8183861333,,,Fijo,25.7775496,-100.1842467,2010-07
434221,6,Seguridad Industrial y de Valores,SEGURIDAD INDUSTRIAL Y DE VALORES,SEGURIDAD INDUSTRIAL,4577,0,25,1,6368925,19006434221000443000000000U6,DISTRIBUIDORA DE LAMINAS EL TIGRE,DISTRIBUIDORA DE LAMINAS EL TIGRE SA DE CV,Comercio al por mayor de materiales metálicos para la construcción y la manufactura,11 a 30 personas,CALLE,ANTONIO GARZA VILLARREAL,AVENIDA,PROFESOR MOISÉS SÁENZ GARZA,CALLE,GENERAL IGNACIO ZARAGOZA,CALLE,MINA,113,,,,,,COLONIA,MEZQUITAL,,,,66637,19,NUEVO LEÓN   ,Apodaca,1,Ciudad Apodaca,1399,23,,GMEDINA@LAMINASELTIGRE.COM,,Fijo,25.75666691,-100.2404097,2010-07
434225,2,Electronica Saturno de Colima S.A. de C.V.,ELECTRONICA SATURNO DE COLIMA,ELECTRONICA SATURNO,746,28000,6,1,6857582,09002434225000913001000000U0,F G ELECTRICAL REPRESENTATIVES,,Comercio al por mayor de equipo y material eléctrico,6 a 10 personas,CALLE,NORTE 45,CALLE,BOULEVARD DE LOS FERROCARRILES,CALLE,BOULEVARD DE LOS FERROCARRILES,CALLE,NORTE 59,958,,,,202,,COLONIA,INDUSTRIAL VALLEJO,,,,2300,9,CIUDAD DE MÉXICO,Azcapotzalco,1,Azcapotzalco,877,20,,EDGAR.PATINO@FGELECTRICAL.COM,WWW.FGELECTRICAL,Fijo,19.49526243,-99.15925998,2019-04
434225,2,Electronica Saturno de Colima S.A. de C.V.,ELECTRONICA SATURNO DE COLIMA,ELECTRONICA SATURNO,746,28000,6,1,6258042,09002434225000382000008258S8,CONDUCTORES DEL NORTE,CONDUCTORES DEL NORTE SA DE CV,Comercio al por mayor de equipo y material eléctrico,6 a 10 personas,AVENIDA,BIÓLOGO MAXIMINO MARTÍNEZ,AVENIDA,NORTE 71,CALLE,NORTE 67,CALLE,PONIENTE 44,3413,,,,0,SN,COLONIA,SAN SALVADOR XOCHIMANCA,,,,2870,9,CIUDAD DE MÉXICO,Azcapotzalco,1,Azcapotzalco,824,5,,,,Fijo,19.46146274,-99.17496505,2010-07
434225,2,Electronica Saturno de Colima S.A. de C.V.,ELECTRONICA SATURNO DE COLIMA,ELECTRONICA SATURNO,746,28000,6,1,8699008,09002434225001042000000000U7,BODEGA DE RECOLECCION DE ENVASES PROLIEPOX,,Comercio al por mayor de equipo y material eléctrico,6 a 10 personas,CALLE,17,CALLE,28,CALLE,24,CALLE,19,57,,,,0,,COLONIA,PROHOGAR,,,,2600,9,CIUDAD DE MÉXICO,Azcapotzalco,1,Azcapotzalco,415,11,,,,Fijo,19.47404261,-99.14848025,2019-11
434225,2,Electronica Saturno de Colima S.A. de C.V.,ELECTRONICA SATURNO DE COLIMA,ELECTRONICA SATURNO,746,28000,6,1,684733,09002434225000773000000000U8,MC DISTRIBUIDORA ELECTRICA,MC DISTRIBUIDORA ELECTRICA  SA DE CV,Comercio al por mayor de equipo y material eléctrico,11 a 30 personas,CALLE,16,CALLE,13,EJE VIAL,3 Norte (Cuitláhuac),CALLE,Central Sur,168,13,,,0,,COLONIA,PRO HOGAR,,,,2600,9,CIUDAD DE MÉXICO,Azcapotzalco,1,Azcapotzalco,400,20,5553550329,,,Fijo,19.47339867,-99.15258439,2014-12
434225,2,Electronica Saturno de Colima S.A. de C.V.,ELECTRONICA SATURNO DE COLIMA,ELECTRONICA SATURNO,746,28000,6,1,6290145,04002434225000132000013157S2,PROMESSA CAMPECHE 2,PRODUCTOS MEXICANOS ELECTRICOS EN EL SURESTE SA DE CV,Comercio al por mayor de equipo y material eléctrico,6 a 10 personas,AVENIDA,PATRICIO TRUEBA DE REGIL,AVENIDA,JOSÉ LÓPEZ PORTILLO,CALLE,FLAMBOYANES,PRIVADA,PEDRO MORENO,134,,,,0,,COLONIA,SASCALUM,,,,24090,4,CAMPECHE,Campeche,1,San Francisco de Campeche,1143,30,,CONTABILIDADPROMESSA@HOTMAIL.COM,,Fijo,19.81885772,-90.53000836,2010-07
434225,2,Electronica Saturno de Colima S.A. de C.V.,ELECTRONICA SATURNO DE COLIMA,ELECTRONICA SATURNO,746,28000,6,1,7401424,09002434225001032000050057S8,STEREN,ELECTRONICA TEZOZOMOC SA DE CV,Comercio al por mayor de equipo y material eléctrico,6 a 10 personas,AVENIDA,TEZOZOMOC,AVENIDA,AQUILES SERDAN,CALLE,ACAMAPICHTLI,CALLE,HUITZILÍHUITL,121,,,,0,,COLONIA,LA PRECIOSA,,,,2460,9,CIUDAD DE MÉXICO,Azcapotzalco,1,Azcapotzalco,294,16,5517422617,TEZOZOMOC@STEREN.COM.MX,WWW.STEREN.COM.MX,Fijo,19.48934423,-99.1946797,2019-11
435311,2,Corporativo Inteltex SA De CV,CORPORATIVO INTELTEX,CORPORATIVO INTELTEX,067A,2070,9,1,87644,02002517210000382000000000U7,SATA SEGURIDAD,GRUPO SATA SA DE CV,"Comercio al por mayor de equipo de telecomunicaciones, fotografía y cinematografía",11 a 30 personas,AVENIDA,CRISTOBAL COLON,CALZADA,JUSTO SIERRA,CALLE,L,AVENIDA,FRANCISCO I. MADERO,2012,,,,,,COLONIA,NUEVA,,,,21100,2,BAJA CALIFORNIA,Mexicali,1,Mexicali,95,52,6865547511,INFO@GRUPOSATA.COM,WWW.GRUPOSATA.COM,Fijo,32.6679676,-115.4531579,2010-07
435311,2,Corporativo Inteltex SA De CV,CORPORATIVO INTELTEX,CORPORATIVO INTELTEX,067A,2070,9,1,6308452,09002435319000206010002900M9,CORPORATIVO INALARM SA DE CV,CORPORATIVO INALARM SA DE CV,"Comercio al por mayor de equipo de telecomunicaciones, fotografía y cinematografía",101 a 250 personas,CALLE,REY MAXTLA,CALLE,AMADO NERVO,CALLE,MANUEL ACUÑA,AVENIDA,FF. CC. NACIONALES DE MÉXICO,213,,,,0,SN,COLONIA,SAN FRANCISCO TETECALA,,,,2730,9,CIUDAD DE MÉXICO,Azcapotzalco,1,Azcapotzalco,1023,25,,SREYES@INALARM.MX,WWW.INALARM.MX,Fijo,19.47995833,-99.1922267,2010-07
435311,2,Corporativo Inteltex SA De CV,CORPORATIVO INTELTEX,CORPORATIVO INTELTEX,067A,2070,9,1,67865,02004517910000143011000000U4,DYNAMIC COMMUNICATIONS MEXICO,DYNAMIC COMMUNICATIONS MEXICO SA DE CV,"Comercio al por mayor de equipo de telecomunicaciones, fotografía y cinematografía",11 a 30 personas,BOULEVARD,LAZARO CARDENAS,CALLE,LAGO BANQUEO,CALLE,PASEO DE LOS LAGOS,CALLE,BANKAL,341,,,,,,COLONIA,JARDINES DEL LAGO,OTRO CONGLOMERADO,PLAZA AGUA CALIENTE,,21330,2,BAJA CALIFORNIA,Mexicali,1,Mexicali,280A,41,,CEO@GODYNACOM.COM,WWW.GODIYCOM.COM,Fijo,32.62394558,-115.4873672,2010-07
435311,2,Corporativo Inteltex SA De CV,CORPORATIVO INTELTEX,CORPORATIVO INTELTEX,067A,2070,9,1,8940633,09002435311000151000038492S4,TELCEL BERYHUERT TOWN CENTER ROSARIO,BERY HUERT SA DE CV,"Comercio al por mayor de equipo de telecomunicaciones, fotografía y cinematografía",6 a 10 personas,AVENIDA,DEL ROSARIO,CALLE,CULTURA NORTE,CALLE,OSA MAYOR,AVENIDA,RIO BLANCO,1025,,CENTRO Y PLAZA COMERCIAL,PISO 3,0,LOCAL K1 AL K11,COLONIA,EL ROSARIO,CENTRO Y PLAZA COMERCIAL,TOWN CENTER ROSARIO,K1 AL K11,2100,9,CIUDAD DE MÉXICO,Azcapotzalco,1,Azcapotzalco,928,9,,,,Fijo,19.50178988,-99.20360674,2019-11
